Neighbourhood,Property_Address,Property_Code,Price
Anand Niketan,D 54 SF,ag1745,3.2L
Anand Niketan,D 34 SF,ag485-1,3L
Anand Niketan,C 95 SF,ag470,2L
Anand Niketan,C 23 SF,ag1412,2.5L
Anand Niketan,E 41 FF,ag956,1.5L
Anand Niketan,A 10 TF,ag1562,6L
Anand Niketan,E 86 SF,ag407,1.2l
Anand Niketan,C 31 Entire Building,ag303,9.7L
Anand Niketan,C 118 FF SF,ag1724,5.5L
Anand Niketan,E 70 SF,ag1679,2.5L
Anand Niketan,D 123 FF,ag1225,1..7L
Anand Niketan,C 25 SF,ag308-1,1.2L
Anand Niketan,D 106 IND,ag1591,9L
Anand Niketan,H 3 TF,ag278,1.75L
Anand Niketan,D 143 GF,ag406,60K
Anand Niketan,D 134 SF,ag1528,1.25L
Anand Niketan,B 7 SF,ag1108,3.5L
Bandh Road,4 Avenue no. 2,ag1037,5.5L
Bandh Road,A 9 3rd Avenue,ag1379,4L
Bijwasan,19,ag1242,3L
Bijwasan,Bijwasan Road Rajeev Sharma,ag907,4L
Chanakyapuri,F 162 FF,ag1743,5L
Chanakyapuri,17 SF,ag853-1,5.5L
Chanakyapuri,E 108 SF Malcha Marg,ag1683,4L
Chanakyapuri,E 94 TF,ag694-1,4.25L
Chanakyapuri,B 40 FF,ag1028,3L
Chanakyapuri,F 160 Entire Building ,ag1616,14L
Chandan Hola,KST Villa,ag1377,3L
Chattarpur,3b Mullberry DLF,ag1021,6L
Chattarpur,5a Westend,ag1605,4.5L
Chattarpur,4 Palm Drive,ag1500,15L
Chattarpur,41  Central Drive,ag629,8L
Defence Colony,A 424 GF,ag1554,2L
Defence Colony,C 413 FF,ag1750,3L
Defence Colony,A 124 FF,ag1639-1,2.6L
Defence Colony,D 326 FF,ag1701-1,1.9L
Defence Colony,C 79 TF,ag819-2,3L
Defence Colony,A 78 FF,ag760,1L
Defence Colony,D 248 FF,ag1725,3.25L
Defence Colony,D 239 TF,ag1400,95K
Defence Colony,B 10 FF,ag361-3,3l
Defence Colony,D 352 TF,ag1345,3.2L
Defence Colony,C 248 Basement,ag697-3,2.5L
Defence Colony,C 27 TF,ag1714,2.5L
Defence Colony,C 82 GF,ag1710,3.5L
Defence Colony,A 404 SF,ag1709,2.25L
Defence Colony,D 405 SF,ag1693,4L
Defence Colony,C 580 FF,ag1690,3.5L
Defence Colony,C 227 SF,ag1689,3.25L
Defence Colony,C 44 FF,ag1688,2L
Defence Colony,C 527 GF,ag1574,2.9L
Defence Colony,B 95 FF,ag793-1,1.4L
Defence Colony,D 142 SF,ag1680,3.5L
Defence Colony,C 545 TF,ag696,2.25L
Defence Colony,A 120 FF,ag976,1L
Defence Colony,C 112 TF,ag1014,2.25L
Defence Colony,C 539 TF,ag1175,1.1L
Defence Colony,C 240 GF,ag1648,3L
Defence Colony,C 453 IND,ag1314,4.5L
Defence Colony,C 73 GF,ag1404,2.8L
Defence Colony,A 14 GF,ag378,90K
Defence Colony,C 559 TF,ag425,1.6L
Defence Colony,C 314 SF,ag937-1,3.1L
Dera Mandi,Next to Dhyan Ashram Link Road,ag1373,6L
Dera Mandi,PULMERIA LANE FH,ag659,
Dera Mandi,6 FH,ag658,
Dera Mandi,15 FH,ag656,
Dera Mandi,2 FH chadda farm,ag654,
DLF,18 Chinar Drive,ag540,10L
Friends Colony West,20a ind,ag1747,7.5L
G.K Enclave 1,C 2 SF,ag1737,1.75L
G.K-1,E 116 TF,ag969,1.85L
G.K-1,W 127 SF,ag1702,4.15L
G.K-2,E 482 TF,ag1736,3.5L
G.K-2,M 78 SF,ag1735,1.25L
G.K-2,E 321 FF,ag1727,1.8L
Gadaipur,730,ag1609,12L
Gadaipur,33 Triveni Complex Shivam Farm,ag1612,4.5L
Ghitorni,38 Road no. 2,ag1511,4.5L
Ghitorni,77 silver oak fh ghitorni,ag671,
Ghitorni,35 silver oak ghitorni,ag669,
Ghitorni,34 silver oak ghitorni,ag668,
Ghitorni,B 29 silver oak fh ghitorni,ag665,
Ghitorni,club drive fh ghitorni,ag664,
Golf Links,165 IND,ag1731,17L
Golf Links,181 FF,ag1696,2.5L
Golf Links,209 Duplex,ag1699,4L
Golf Links,117 IND,ag1384,6.5L
Green Park Extension,P 20 FF,ag1626,3.75L
Green Park Main, H 8 SF,ag1623,1.4L
Hauz Khas,K 34 FF,ag1752,3.5L
Hauz Khas,K 109 GF,ag921,2.9L
Jangpura Extension,K 46 FF,ag1732,1.3L
Jangpura Extension,C 7 SF,ag1139,50K
Jor Bagh,104 FF,ag1708,4.5L
Jor Bagh,201 FF,ag947-1,4.25L
Jor Bagh,214 TF,ag1029,3.7L
Jor Bagh,146 GF FF,ag1470,15L
Kapashera,Pai Farm ,ag487,4.5L
Kapashera,Pi farm,ag962,
Kapashera,5 FH ,ag903,
Lajpat Nagar,D 53 SF,ag1485,30K
Mayfair Garden,85 SF,ag1430,1.3L
Nizamuddin East,B 12 FF,ag1729,1.6L
Nizamuddin East,A 45 Duplex,ag1705,3.5L
Nizamuddin East,B 35 GF,ag239-1,4L
Panchsheel Park,S 58 FF,ag1565,5L
Pushpanjali,F 4,ag1266,6.5L
Pushpanjali,C 24,ag472,6L
Pushpanjali,D 10,ag1240,4L
Radhey Mohan Drive,F 50e,ag1576,7L
Radhey Mohan Drive,F 51,ag638,5L
Radhey Mohan Drive,F 38,ag1033,
Safdar Jung Enclave,A 2/52 SF ,ag1751,1.4L
Safdar Jung Enclave,B 4/109 FF,ag1409,2L
Safdar Jung Enclave,A 1/253 SF,ag1744,2L
Safdar Jung Enclave,B 4/34 TF,ag1711,1.5L
Safdar Jung Enclave,A 2/146 GF,ag538,3L
Safdar Jung Enclave,B 2/53 TF,ag459-2,1L
Safdar Jung Enclave,A 2/75 TF,ag1292,1.5L
Safdar Jung Enclave,A 1/272 GF,ag1718,2.5L
Safdar Jung Enclave,B 4/60 SF,ag1721,3.5L
Safdar Jung Enclave,B 6/76 GF,ag1691,2L
Safdar Jung Enclave,B 1/23 SF,ag1602,2L
Safdar Jung Enclave,B 3/56 GF,ag234-1,1.5L
Safdar Jung Enclave,B 6/79 SF,ag1668,2.5L
Safdar Jung Enclave,A 2/113 SF,ag561,1.5L
Safdar Jung Enclave,B 2/138 Entire Building,ag1631,15L
Satbari,Prithvi farm silver oak lane,ag1604,8.5L
Satbari,D 19 Ansal,ag1311,6L
Satbari,C 16 Ansal,ag1303,3L
Satbari,D 19 MBD Farm,ag1291,12L
SDA,C 4/70 GF,ag1730,2.25L
SDA,C 4/134 TF,ag1723,1.5L
SDA,\,ag1080,1.5L
SDA,C 6/72A FF,ag1684,4.5L
SDA,C 4/24 GF,ag348,2L
Shanti Niketan,6/18 SF,ag1749,3L
Shanti Niketan,6/31 SF,ag1712,5.25L
Shanti Niketan,2/15 TF,ag211-1,2.25L
Shanti Niketan,1/18 IND,ag418,4L
Shanti Niketan,8/4 GF,ag140,4.5L
Shanti Niketan,4/24 GF,ag210,3.5L
Shanti Niketan,3/26 SF,ag1411-1,4.5L
Sultanpur,18/19 Prakriti Marg Central Park,ag1615,10L
Sunadar Nagar,69 GF,ag1049,3.3L
Vasant Kunj Bhawani Kunj,Plot No. 85 FF,ag1713,80K
Vasant Kunj Farms,31a Green Avenuse,ag1695,7L
Vasant Kunj Farms,Farm 1A Avenue 9,ag1682,12L
Vasant Kunj Farms,Farm 31A Green Avenue,ag1674,14L
Vasant Kunj Farms,Farm 45 Mandir Road,ag1681,13L
Vasant Kunj Farms,JK Farm Park Lane,ag1671,10L
Vasant Kunj Farms,9 Avenue ,ag1653,5L
Vasant Kunj Farms,10 Avenue Mall Road,ag1654,4.5L
Vasant Kunj Farms,A 7 Green Avenue Street,ag1655,3.5L
Vasant Kunj Farms,New Kothi Mall Road,ag1659,4.5L
Vasant Kunj Farms,B 27 Shanti Kunj,ag1660,7L
Vasant Kunj Farms,11 Avenue ,ag1661,4L
Vasant Kunj Farms,5 No.Pandit Farm,ag1662,2L
Vasant Kunj Farms,3 Park Lane,ag918,8L
Vasant Kunj Farms,29 Sheela Farm,ag1613,5L
Vasant Kunj Farms,J.J Farm no.1,ag1580,10L
Vasant Kunj Farms,6 No. Avenue,ag1569,15L
Vasant Kunj Farms,Vipul Farm,ag1035,3L
Vasant Kunj Farms,339 Mall Road,ag1022,
Vasant Kunj Farms,8 Park Lane,ag392,
Vasant Vihar ,D 6/23 SF,ag1753,4.5l
Vasant Vihar ,E 8/7 TF,ag171-2,5L
Vasant Vihar ,D 6/27 GF,ag1111,2.75L
Vasant Vihar ,A 8/19 SF,ag150-2,3.1L
Vasant Vihar ,F 6/7 Entire Building,ag1746,28L
Vasant Vihar ,E 6/4 SF,ag196,3L 
Vasant Vihar,E 3/2 TF,ag712,2.7L
Vasant Vihar,A 8/29 SF,ag1742,4L
Vasant Vihar,A 14/12 FF,ag1740,5L
Vasant Vihar,A 13/8 FF,ag1129-1,4L
Vasant Vihar,E 11/13 FF,ag145,3.5L
Vasant Vihar,E 3/7 GF,ag329-1,3.7L
Vasant Vihar,E 7/8 TF,ag770,3L
Vasant Vihar,D 1/49 FF,ag307,1.3L
Vasant Vihar,E 2/3 FF,ag1728,3.5L
Vasant Vihar,A 8/19 FF,ag150-1,1.8L
Vasant Vihar,F 9/10 TF,ag1378-1,5L
Vasant Vihar,D 5/1 GF,ag310-2,3L
`Vasant Vihar,E 7/16 GF,ag1267,3L
Vasant Vihar,32 FF Poorvi Marg,ag1719,4l
Vasant Vihar,C 8/7 TF,ag727-1,3L
Vasant Vihar,C 7/7 SF,ag1676,1.5L
Vasant Vihar,B 3/10 FF,ag1454,1.5L
Vasant Vihar,38 FF Paschimi Marg,ag824,1.7L 
Vasant Vihar,A 5/4 IND,ag1642,9L
Vasant Vihar,D 5/1 FF,ag310-1,2.25L
Vasant Vihar,E 10/3 SF,ag1625,1L
Vasant Vihar,F 8/16 SF,ag512,3L
Vasant Vihar,F 9/11 FF,ag752,1.8L
Vasant Vihar,68 TF Paschimi Marg,ag667,1.7L 
Vasant Vihar,50 SF Poorvi Marg,ag1597,3.5L
Vasant Vihar,E 2/13 GF,ag1598,6.5L
Vasant Vihar,68 GF Poorvi,ag353,4.7L
Vasant Vihar,7 FF Munirka Marg,ag558,6L
Vasant Vihar,D 1/48 FF,ag419-1,3.5L
Vasant Vihar,A 10/8 GF,ag441,4.5L
Vasant Vihar,A 15/27 SF,ag1523,2.6L
Vasant Vihar,B 3/10 SF,ag1454-1,1.2L
Vasant Vihar,4 Palam Marg IND,ag1521,22L
Vasant Vihar,15 SF Paschimi Marg,ag192,4.5L
Vasant Vihar,B 2/13 GF,ag443,1.5L
Vasant Vihar,D 5/6 SF,ag284-1,2.5L
Westend,C 3 GF,ag1738,12L
Westend,C 21 GF,ag1526-2,5L
Westend,B 28b GF FF,ag1715,10L
Westend,C 21 SF,ag1526-1,4.25L
Westend,D 3 TF,ag179,1.8L
Westend Greens,27 Shivji,ag1530,25L
Westend Greens,2 Shivji ,ag904,9L
Westend Greens,5 Mulsari,ag1498,10L
Total,,216,
